Company Name,Geography,Geography Code,Sector,CA100 Company?,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Level,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company explicitly recognise climate change as a relevant risk and/or opportunity to the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose Scope 3 use of product emissions?,Q13L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,"Q14L4|Has the company incorporated environmental, social and governance issues into executive remuneration?",Q15L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q16L4|Does the company undertake climate scenario planning?,Q17L4|Does the company have an internal price of carbon?
UC RUSAL,Hong Kong,HKG,Aluminium,No,large,JE00B5BCW814,,01/02/2019,21/03/2018,2,new,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Not applicable,Yes,No,No,Yes,No
UPM-Kymmene,Finland,FIN,Paper,No,large,FI0009005987,5051252,01/11/2018,07/10/2017,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,No,Yes,Yes,No
UltraTech Cement,India,IND,Cement,Yes,large,INE481G01011,B01GZF6,01/09/2018,24/04/2018,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,No,No
Unilever,Netherlands,NLD,Consumer Goods,Yes,large,"NL0000388619, NL0000009355",B1527V7,01/12/2018,06/10/2017,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes
United Continental,United States of America,USA,Airlines,Yes,medium,US9100471096,B4QG225,01/02/2019,05/05/2018,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,No,Yes,Yes,No
United States Steel,United States of America,USA,Steel,No,small,US9129091081,2824770,01/09/2018,18/09/2017,2,new,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Not applicable,No,No,No,No,No
United Tractors,Indonesia,IDN,Other Industrials,Yes,large,ID1000058407,6230845,01/12/2018,24/04/2018,2,new,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
Vale (Coal Mining),Brazil,BRA,Coal Mining,Yes,large,BRVALEACNOR0,2196286,01/07/2018,21/09/2017,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
Valero Energy,United States of America,USA,Oil & Gas,Yes,large,US91913Y1001,2041364,01/07/2018,18/09/2017,2,unchanged,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Vedanta (Aluminium),India,IND,Aluminium,Yes,large,INE205A01025,6136040,01/12/2018,05/04/2018,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,Yes,No,No
