Company Name,Geography,Geography Code,Sector,CA100 Company?,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Level,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company disclose its membership and involvement in trade associations engaged in climate issues?,Q12L3|Does the company have a process to manage climate-related risks?,Q13L3|Does the company disclose Scope 3 use of product emissions?,Q14L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q15L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q16L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q17L4|Does the company undertake climate scenario planning?,Q18L4|Does the company disclose an internal price of carbon?,Q19L4|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?
Buzzi Unicem,Italy,ITA,Cement,No,medium,"IT0001347308, IT0001369427","5782206, 5782284",01/02/2021,23/08/2019,1,new,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Not applicable,No,No,No,No,No,No
CEZ,Czechia,CZE,Electricity Utilities,Yes,large,CZ0005112300,5624030,01/10/2020,03/03/2020,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not applicable,Yes,Yes,No,No,Yes,No
CEZ,Czechia,CZE,Electricity Utilities,Yes,large,CZ0005112300,5624030,01/09/2019,19/04/2019,2,up,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Not applicable,No,No,No,No,No,No
CF Industries,United States of America,USA,Chemicals,No,medium,US1252691001,B0G4K50,01/02/2021,05/03/2020,2,new,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Not applicable,No,No,No,No,No,No
CK Infrastructure,Hong Kong,HKG,Electricity Utilities,No,large,BMG2178K1009,BYVS6J1,01/10/2020,22/07/2019,1,unchanged,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Not applicable,Yes,No,No,No,No,No
CK Infrastructure,Hong Kong,HKG,Electricity Utilities,No,large,BMG2178K1009,BYVS6J1,01/09/2019,24/08/2018,1,new,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Not applicable,No,No,No,No,No,No
CLP,Hong Kong,HKG,Electricity Utilities,No,large,HK0002007356,6097017,01/10/2020,18/03/2020,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No,No
CLP,Hong Kong,HKG,Electricity Utilities,No,large,HK0002007356,6097017,01/09/2019,08/03/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No,No
CMPC,Chile,CHL,Paper,No,large,CL0000001314,2196015,01/02/2021,26/03/2020,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No,No
CMPC,Chile,CHL,Paper,No,large,CL0000001314,2196015,01/02/2020,28/04/2019,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,No,No,No
CMS Energy,United States of America,USA,Electricity Utilities,No,medium,US1258961002,2219224,01/10/2020,22/07/2019,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,No,No,No,No,No
CMS Energy,United States of America,USA,Electricity Utilities,No,medium,US1258961002,2219224,01/09/2019,05/02/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not applicable,Yes,No,Yes,No,No,No
CNOOC,China,CHN,Oil & Gas,Yes,large,HK0883013259,B00G0S5,01/10/2020,06/02/2020,2,unchanged,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
CNOOC,China,CHN,Oil & Gas,Yes,large,HK0883013259,B00G0S5,01/09/2019,07/06/2019,2,unchanged,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
COSCO Shipping Energy,China,CHN,Shipping,No,medium,"CNE1000002S8, CNE000001BD6","6782045, 6344627, BP3R9Y9",01/12/2020,21/11/2019,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
COSCO Shipping Energy,China,CHN,Shipping,No,medium,"CNE1000002S8, CNE000001BD6","6782045, 6344627, BP3R9Y9",01/12/2019,30/01/2019,1,new,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Not applicable,No,No,No,No,No,No
COSCO Shipping Lines,China,CHN,Shipping,No,large,"CNE1000002J7, CNE100000601","B0B8Z18, B1YQ5Q1, BP3R552",01/12/2020,02/10/2019,1,down,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
COSCO Shipping Lines,China,CHN,Shipping,No,large,"CNE1000002J7, CNE100000601","B0B8Z18, B1YQ5Q1, BP3R552",01/12/2019,16/01/2019,2,new,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Not applicable,No,No,No,No,No,No
CRH,United Kingdom,GBR,Cement,Yes,large,IE0001827041,"0182704, 4182249",01/10/2020,31/03/2020,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,Yes,Yes,No
CRH,United Kingdom,GBR,Cement,Yes,large,IE0001827041,"0182704, 4182249",01/09/2019,08/03/2019,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,Yes,Yes,No,No,Yes,No
Cabot Oil & Gas,United States of America,USA,Oil & Gas,No,medium,US1270971039,2162340,01/10/2020,11/09/2019,2,unchanged,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Cabot Oil & Gas,United States of America,USA,Oil & Gas,No,medium,US1270971039,2162340,01/09/2019,05/09/2018,2,new,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Canadian Natural Resources,Canada,CAN,Oil & Gas,Yes,large,CA1363851017,"2171573, BD4DBT1",01/10/2020,21/08/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
Canadian Natural Resources,Canada,CAN,Oil & Gas,Yes,large,CA1363851017,"2171573, BD4DBT1",01/09/2019,27/03/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No
Carpenter Tech,United States of America,USA,Steel,No,small,US1442851036,2177504,01/02/2021,31/03/2020,2,new,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Cascades,Canada,CAN,Paper,No,small,CA1469001053,2179254,01/02/2021,31/03/2020,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not applicable,No,No,No,No,No,No
Caterpillar,United States of America,USA,Other Industrials,Yes,large,US1491231015,2180201,01/10/2020,25/02/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Caterpillar,United States of America,USA,Other Industrials,Yes,large,US1491231015,2180201,01/09/2019,14/02/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Celanese,United States of America,USA,Chemicals,No,medium,US1508701034,B05MZT4,01/02/2021,16/03/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Not applicable,Yes,No,No,No,No,No
Celanese,United States of America,USA,Chemicals,No,medium,US1508701034,B05MZT4,01/02/2020,23/04/2019,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Not applicable,Yes,No,No,No,No,No
Cemex,Mexico,MEX,Cement,Yes,large,"MXP225611567, US1512908898","2406457, 2488671",01/10/2020,25/02/2020,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,Yes,Yes,No
Cemex,Mexico,MEX,Cement,Yes,large,"MXP225611567, US1512908898","2406457, 2488671",01/09/2019,07/03/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,No,Yes,No
Cenovus Energy,Canada,CAN,Oil & Gas,No,medium,CA15135U1093,B57FG04,01/10/2020,31/03/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No
Cenovus Energy,Canada,CAN,Oil & Gas,No,medium,CA15135U1093,B57FG04,01/09/2019,13/02/2019,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
CenterPoint Energy,United States of America,USA,Electricity Utilities,No,medium,US15189T1079,2440637,01/10/2020,18/07/2019,2,unchanged,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
CenterPoint Energy,United States of America,USA,Electricity Utilities,No,medium,US15189T1079,2440637,01/09/2019,28/02/2019,2,unchanged,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Centrica,United Kingdom,GBR,Oil & Gas Distribution,Yes,medium,GB00B033F229,B033F22,01/10/2020,18/02/2020,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Centrica,United Kingdom,GBR,Oil & Gas Distribution,Yes,medium,GB00B033F229,B033F22,01/09/2019,08/04/2019,4,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,No,Yes,Yes,Yes,No
Chalco,China,CHN,Aluminium,No,large,"CNE1000001T8, CNE1000000T0","6425395, B1WLHY0, BP3R4D3",01/02/2021,12/09/2019,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Chalco,China,CHN,Aluminium,No,large,"CNE1000001T8, CNE1000000T0","6425395, B1WLHY0, BP3R4D3",01/02/2020,24/12/2018,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Cheniere Energy,United States of America,USA,Oil & Gas Distribution,No,medium,US16411R2085,2654364,01/10/2020,16/03/2020,2,unchanged,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
Cheniere Energy,United States of America,USA,Oil & Gas Distribution,No,medium,US16411R2085,2654364,01/09/2019,26/02/2019,2,new,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Chevron,United States of America,USA,Oil & Gas,Yes,large,US1667641005,2838555,01/10/2020,10/03/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No
Chevron,United States of America,USA,Oil & Gas,Yes,large,US1667641005,2838555,01/09/2019,04/06/2019,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No
China Coal,China,CHN,Coal Mining,No,large,"CNE100000528, CNE100000957","B1JNK84, B2NWDF2, BP3R3P8",01/10/2020,25/09/2019,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
China Coal,China,CHN,Coal Mining,No,large,"CNE100000528, CNE100000957","B1JNK84, B2NWDF2, BP3R3P8",01/09/2019,27/12/2018,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
China Hongqiao Group,China,CHN,Aluminium,No,medium,KYG211501005,B44ZV94,01/02/2021,04/02/2020,1,new,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
China Merchants Energy Shipping,China,CHN,Shipping,No,large,CNE000001PQ8,"B1H6P80, BP3R8G4",01/12/2020,26/03/2020,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
China National Building Materials,China,CHN,Cement,No,large,CNE1000002N9,B0Y91C1,01/02/2021,05/09/2019,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
China National Building Materials,China,CHN,Cement,No,large,CNE1000002N9,B0Y91C1,01/02/2020,25/10/2018,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
China Resources Cement,China,CHN,Cement,No,large,KYG2113L1068,B41XC98,01/02/2021,14/08/2019,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
China Resources Cement,China,CHN,Cement,No,large,KYG2113L1068,B41XC98,01/02/2020,26/10/2018,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
China Resources Power,China,CHN,Electricity Utilities,No,large,HK0836012952,6711566,01/10/2020,08/11/2019,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
China Resources Power,China,CHN,Electricity Utilities,No,large,HK0836012952,6711566,01/09/2019,16/01/2019,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
China Shenhua Energy,China,CHN,Coal Mining,Yes,large,"CNE1000002R0, CNE100000767","B09N7M0, B281JM3, BP3R262",01/10/2020,30/03/2020,2,unchanged,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
China Shenhua Energy,China,CHN,Coal Mining,Yes,large,"CNE1000002R0, CNE100000767","B09N7M0, B281JM3, BP3R262",01/09/2019,22/03/2019,2,up,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
China Southern,China,CHN,Airlines,No,large,"CNE1000002T6, CNE000001FG0","6013693, 6664972, BP3R6G0",01/12/2020,24/09/2019,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
China Southern,China,CHN,Airlines,No,large,"CNE1000002T6, CNE000001FG0","6013693, 6664972, BP3R6G0",01/12/2019,21/01/2019,1,unchanged,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
China Steel,Taiwan,TWN,Steel,Yes,large,TW0002002003,6190950,01/10/2020,04/03/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Not applicable,No,No,No,No,No,No
China Steel,Taiwan,TWN,Steel,Yes,large,TW0002002003,6190950,01/09/2019,07/06/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,No,No,No,No,No
China Zhongwang,China,CHN,Aluminium,No,medium,KYG215AT1023,B3VZ220,01/02/2021,12/12/2019,1,unchanged,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
China Zhongwang,China,CHN,Aluminium,No,medium,KYG215AT1023,B3VZ220,01/02/2020,17/02/2019,1,unchanged,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Chubu Electric Power,Japan,JPN,Electricity Utilities,No,large,JP3526600006,6195609,01/10/2020,05/03/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,No,No
Chubu Electric Power,Japan,JPN,Electricity Utilities,No,large,JP3526600006,6195609,01/09/2019,28/06/2018,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not applicable,Yes,No,Yes,No,No,No
Chugoku,Japan,JPN,Electricity Utilities,No,medium,JP3522200009,6195900,01/10/2020,02/01/2020,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not applicable,Yes,No,Yes,No,Yes,No
Chugoku,Japan,JPN,Electricity Utilities,No,medium,JP3522200009,6195900,01/09/2019,27/08/2018,1,new,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Not applicable,No,No,No,No,No,No
Coal India,India,IND,Coal Mining,Yes,large,INE522F01014,B4Z9XF5,01/10/2020,12/12/2019,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Coal India,India,IND,Coal Mining,Yes,large,INE522F01014,B4Z9XF5,01/09/2019,02/11/2018,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Coca-Cola,United States of America,USA,Consumer Goods,Yes,large,US1912161007,2206657,01/10/2020,23/03/2020,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No,No
Coca-Cola,United States of America,USA,Consumer Goods,Yes,large,US1912161007,2206657,01/09/2019,21/02/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No,No
Colgate-Palmolive,United States of America,USA,Consumer Goods,Yes,large,US1941621039,2209106,01/10/2020,19/08/2019,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes,No
Colgate-Palmolive,United States of America,USA,Consumer Goods,Yes,large,US1941621039,2209106,01/09/2019,01/10/2018,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No,No
Commercial Metals,United States of America,USA,Steel,No,small,US2017231034,2213260,01/02/2021,04/09/2019,2,new,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Con Edison,United States of America,USA,Electricity Utilities,No,large,US2091151041,2216850,01/10/2020,10/09/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Not applicable,Yes,Yes,Yes,No,No,No
Con Edison,United States of America,USA,Electricity Utilities,No,large,US2091151041,2216850,01/09/2019,07/06/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Not applicable,Yes,Yes,Yes,No,No,No
Concho Resources,United States of America,USA,Oil & Gas,No,medium,US20605P1012,B1YWRK7,01/10/2020,06/09/2019,2,unchanged,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
Concho Resources,United States of America,USA,Oil & Gas,No,medium,US20605P1012,B1YWRK7,01/09/2019,20/02/2019,2,up,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
ConocoPhillips,United States of America,USA,Oil & Gas,Yes,large,US20825C1045,2685717,01/10/2020,21/02/2020,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
ConocoPhillips,United States of America,USA,Oil & Gas,Yes,large,US20825C1045,2685717,01/09/2019,19/02/2019,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
Consol Energy,United States of America,USA,Coal Mining,No,small,US20854L1089,BF4L070,01/10/2020,31/03/2020,1,down,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No
Coronado Global Resources,Australia,AUS,Coal Mining,No,small,AU0000026122,BGV71W0,01/10/2020,17/03/2020,2,new,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Covestro,Germany,DEU,Chemicals,No,medium,DE0006062144,BYTBWY9,01/02/2021,31/03/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Not applicable,Yes,No,No,No,No,No
Covestro,Germany,DEU,Chemicals,No,medium,DE0006062144,BYTBWY9,01/02/2020,23/04/2019,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Not applicable,Yes,No,No,No,No,No
Croda International,United Kingdom,GBR,Chemicals,No,medium,GB00BJFFLV09,BJFFLV0,01/02/2021,20/03/2020,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No,No
Cummins,United States of America,USA,Other Industrials,Yes,large,US2310211063,2240202,01/10/2020,01/11/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
Cummins,United States of America,USA,Other Industrials,Yes,large,US2310211063,2240202,01/09/2019,31/10/2018,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
DMCI,Philippines,PHL,Coal Mining,No,medium,PHY2088F1004,6272483,01/10/2020,22/10/2019,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
DMCI,Philippines,PHL,Coal Mining,No,medium,PHY2088F1004,6272483,01/09/2019,28/01/2019,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
DS Smith,United Kingdom,GBR,Paper,No,medium,GB0008220112,822011,01/02/2021,18/09/2019,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,No,No,No
DS Smith,United Kingdom,GBR,Paper,No,medium,GB0008220112,822011,01/02/2020,24/09/2018,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Not applicable,Yes,No,No,No,No,No
DTE Energy,United States of America,USA,Electricity Utilities,No,medium,US2333311072,2280220,01/10/2020,28/03/2020,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
DTE Energy,United States of America,USA,Electricity Utilities,No,medium,US2333311072,2280220,01/09/2019,07/02/2019,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No,No
Daido Steel,Japan,JPN,Steel,No,medium,JP3491000000,6250627,01/02/2021,03/12/2019,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Daikin Industries,Japan,JPN,Other Industrials,Yes,large,JP3481800005,6250724,01/10/2020,15/02/2020,3,down,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
Daikin Industries,Japan,JPN,Other Industrials,Yes,large,JP3481800005,6250724,01/09/2019,28/06/2018,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes,No
Daimler,Germany,DEU,Autos,Yes,large,DE0007100000,5529027,01/10/2020,04/03/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No
Daimler,Germany,DEU,Autos,Yes,large,DE0007100000,5529027,01/09/2019,29/03/2019,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No
Daio Paper,Japan,JPN,Paper,No,small,JP3440400004,6870898,01/02/2021,25/03/2020,1,unchanged,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Not applicable,Yes,No,No,No,No,No
Daio Paper,Japan,JPN,Paper,No,small,JP3440400004,6870898,01/02/2020,26/04/2019,1,unchanged,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Not applicable,Yes,No,No,No,No,No
Dalmia Bharat,India,IND,Cement,No,medium,INE00R701025,BFN2YR2,01/02/2021,31/03/2020,1,new,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Not applicable,Yes,No,No,No,No,No
Dangote Cement,Nigeria,NGA,Cement,Yes,large,NGDANGCEM008,B4TFNR1,01/10/2020,31/03/2020,2,unchanged,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Not applicable,No,No,No,No,No,No
Dangote Cement,Nigeria,NGA,Cement,Yes,large,NGDANGCEM008,B4TFNR1,01/09/2019,21/05/2019,2,new,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Danone,France,FRA,Consumer Goods,Yes,large,FR0000120644,B1Y9TB3,01/10/2020,30/03/2020,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
Danone,France,FRA,Consumer Goods,Yes,large,FR0000120644,B1Y9TB3,01/09/2019,29/03/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes,No
Delta Air Lines,United States of America,USA,Airlines,Yes,large,US2473617023,B1W9D46,01/10/2020,26/02/2020,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes,No
Delta Air Lines,United States of America,USA,Airlines,Yes,large,US2473617023,B1W9D46,01/09/2019,15/02/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No,No
Devon Energy,United States of America,USA,Oil & Gas,Yes,medium,US25179M1036,2480677,01/10/2020,17/12/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
Devon Energy,United States of America,USA,Oil & Gas,Yes,medium,US25179M1036,2480677,01/09/2019,18/01/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
Diamondback Energy,United States of America,USA,Oil & Gas,No,medium,US25278X1090,B7Y8YR3,01/10/2020,09/01/2020,2,unchanged,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Diamondback Energy,United States of America,USA,Oil & Gas,No,medium,US25278X1090,B7Y8YR3,01/09/2019,25/02/2019,2,up,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
